Code,Name,Currency,Market Cap,Price, Change,Change %
BTG,BTG CONSULTING PLC ORD 5P,GBX,189.9,118,-,-
BUC,BUILT CYBERNETICS PLC ORD 1P,GBX,8.18,2.3,-,-
BUCE,BUCCANEER ENERGY PLC ORD 0.01P,GBX,1.36,0.01,-,-
BUR,BURFORD CAPITAL LIMITED ORD NPV (DI),GBX,"1,556.36",714,3,0.42%
BVXP,BIOVENTIX PLC ORD 5P,GBX,86.21,"1,650.00",-,-
BZT,BEZANT RESOURCES PLC ORD 0.002P,GBX,19.05,0.11,-,-
CAM,CAMELLIA PLC ORD 10P,GBX,126.14,"5,000.00",10,0.20%
CAML,CENTRAL ASIA METALS PLC ORD USD0.01,GBX,401.97,230.5,4.5,1.99%
CAV,CAVENDISH PLC ORD 1P,GBX,41.04,10.35,-0.25,-2.36%
CBOX,CAKE BOX HOLDINGS PLC ORD GBP0.01,GBX,86.9,197.5,-,-
CCT,THE CHARACTER GROUP PLC ORD 5P,GBX,43.49,247,-,-
CDGP,CHAPEL DOWN GROUP PLC ORD 5P,GBX,61.75,36,-,-
CEPS,CEPS PLC ORD 0.3P,GBX,8.19,39,-,-
CER,CERILLION PLC ORD 0.5P,GBX,457.88,"1,565.00",15,0.97%
CFX,COLEFAX GROUP PLC ORD 10P,GBX,59.05,"1,130.00",-,-
CGNR,CONROY GOLD & NATURAL RESOURCES PLC ORD EUR0.001 (CDI),GBX,11.73,15.25,-,-
CHAR,CHARIOT LIMITED ORD 1P,GBX,21.78,1.36,-0.02,-1.45%
CHH,CHURCHILL CHINA PLC ORD 10P,GBX,44.65,400,-6,-1.48%
CHP,CALEDONIAN HOLDINGS PLC ORD 0.001P,GBX,4.55,0,-,-
CHRT,COHORT PLC ORD 10P,GBX,569.44,"1,212.00",-,-
CIC,CONYGAR INVESTMENT COMPANY PLC ORD 5P,GBX,18.19,30.5,-,-
CKT,CHECKIT PLC ORD 5P,GBX,19.44,18,-,-
CLA,CELSIUS RESOURCES LIMITED ORD NPV (DI),GBX,31.68,1.05,0.08,7.69%
CLBS,CELEBRUS TECHNOLOGIES PLC ORD 2P,GBX,51.69,131.5,-,-
CLBX,CELLBXHEALTH PLC ORD 0.05P,GBX,11.96,1.05,-,-
CLCO,CLOUDCOCO GROUP PLC ORD 1P,GBX,0.81,0.12,-,-
CLON,CLONTARF ENERGY PLC ORD 0.01P,GBX,1.88,0.02,-,-
CLX,CALNEX SOLUTIONS PLC ORD GBP0.00125,GBX,47.74,53.5,-0.75,-1.38%
CMCL,CALEDONIA MINING CORP PLC COM SHS NPV (DI),GBX,416.98,"2,190.00",30,1.39%
CMET,CAPITAL METALS PLC ORD 0.2P,GBX,24.35,4.95,-,-
CML,CML MICROSYSTEMS PLC ORD 5P,GBX,39.85,240,-,-
CNC,CONCURRENT TECHNOLOGIES PLC ORD 1P,GBX,231.83,266,-0.5,-0.19%
CNS,CORERO NETWORK SECURITY PLC ORD 1P,GBX,66.58,13,-,-
CNSL,CAMBRIDGE NUTRITIONAL SCIENCES PLC ORD 4P,GBX,4.76,2,-,-
