Code,Name,Currency,Market Cap,Price, Change,Change %
MPAC,MPAC GROUP PLC ORD 25P,GBX,106.76,355,-,-
MPAL,MEDPAL AI PLC ORD 0.02P,GBX,21.33,4.5,-0.25,-5.26%
MPE,M. P. EVANS GROUP PLC ORD 10P,GBX,778.62,"1,495.00",5,0.34%
MPL,MERCANTILE PORTS & LOGISTICS LTD ORD NPV,GBX,1.25,0.38,0.03,7.14%
MSI,MS INTERNATIONAL PLC ORD 10P,GBX,210.06,"1,280.00",-,-
MTC,MOTHERCARE PLC ORD 1P,GBX,12.12,2.15,-,-
MTEC,MADE TECH GROUP PLC ORD GBP0.0005,GBX,52.62,35.25,-,-
MTL,METALS EXPLORATION PLC ORD GBP0.0001,GBX,436.58,14.95,0.2,1.36%
MWE,MTI WIRELESS EDGE LD ORD ILS0.01,GBX,49.56,57,-0.5,-0.87%
MYX,MYCELX TECHNOLOGIES CORPORATION COM SHS USD0.025 (DI),GBX,11.09,45.5,-,-
N4P,N4 PHARMA PLC ORD 0.4P,GBX,4.16,0.5,-,-
NAH,NAHL GROUP PLC ORD GBP0.0025,GBX,16.45,34.1,-,-
NAR,NORTHAMBER PLC ORD 1P,GBX,8,29.5,-,-
NBB,NORMAN BROADBENT PLC ORD 5P,GBX,4.44,232.5,-,-
NCYT,NOVACYT S.A. EUR1/15TH (CDI),GBX,24.04,34.1,-,-
NET,NETCALL PLC ORD 5P,GBX,202.88,119,-,-
NEXS,NEXUS INFRASTRUCTURE PLC ORD GBP0.02,GBX,10.62,117.5,-,-
NFG,NEXT 15 GROUP PLC ORD 2.5P,GBX,310.16,308,1,0.33%
NICL,NICHOLS PLC ORD 10P,GBX,362.77,980,-12,-1.21%
NIOX,NIOX GROUP PLC ORD 0.08P,GBX,261.63,62.6,-,-
NTBR,NORTHERN BEAR PLC ORD 1P,GBX,16.09,117,-,-
NTVO,NATIVO RESOURCES PLC ORD 0.15P,GBX,3.15,0.53,0.03,6.06%
NWF,NWF GROUP PLC ORD 25P,GBX,68.69,138.5,-,-
NWT,NEWMARK SECURITY PLC ORD GBP0.05,GBX,9.9,105,-,-
NXQ,NEXTEQ PLC ORD 0.1P,GBX,44.78,77,-0.5,-0.65%
OBD,OXFORD BIODYNAMICS PLC ORD GBP0.001,GBX,12.23,0.29,-,-
OBI,ONDINE BIOMEDICAL INC. COM SHS NPV (CDI),GBX,50.54,9.75,-,-
OHGR,ONE HEALTH GROUP PLC ORD 0.5P,GBX,32.5,235,-,-
OMG,OXFORD METRICS PLC ORD 0.25P,GBX,63.51,56,0.4,0.72%
OMI,OROSUR MINING INC COM SHS NPV,GBX,90.75,26,3,13.04%
OMIP,ONE MEDIA IP GROUP PLC ORD 0.5P,GBX,8.01,3.6,-,-
ONWD,ONWARD OPPORTUNITIES LIMITED ORD NPV,GBX,47.7,145.5,-,-
OPT,OPTIMA HEALTH PLC ORD 1P,GBX,165.12,184,-2,-1.08%
OPTI,OPTIBIOTIX HEALTH PLC ORD 2P,GBX,6.46,6.25,-,-
ORCA,ORCADIAN ENERGY PLC ORD GBP0.001,GBX,11.68,14.75,-,-
ORCH,ORCHARD FUNDING GROUP PLC ORD 1P,GBX,12.81,60,-,-
ORCP,ORACLE POWER PLC ORD 0.001P,GBX,9.04,0.06,-,-
ORR,ORIOLE RESOURCES PLC ORD 0.1P,GBX,15.83,0.33,-,-
PANR,PANTHEON RESOURCES PLC ORD 1P,GBX,103.84,7.09,-0.05,-0.70%
PAT,PANTHERA RESOURCES PLC ORD 1P,GBX,53.18,20.5,-0.1,-0.49%
PCIP,PCI-PAL PLC ORD 1P,GBX,41.66,58.5,1,1.74%
PEB,PEBBLE BEACH SYSTEMS GROUP PLC ORD 2.5P,GBX,23.67,19.75,0.75,3.95%
PEBB,THE PEBBLE GROUP PLC ORD 1P,GBX,80.31,54,-,-
PEEL,PEEL HUNT LIMITED ORD NPV,GBX,153.51,124,-1,-0.80%
PEG,PETARDS GROUP PLC ORD 1P,GBX,6.98,11.5,-,-
PEN,PENNANT INTERNATIONAL GROUP PLC ORD 5P,GBX,10.22,21.5,-,-
PET,PETREL RESOURCES PLC ORD EUR0.0125 (CDI),GBX,1.66,0.8,-,-
PGH,PERSONAL GROUP HOLDINGS PLC ORD 5P,GBX,99.46,309,-9,-2.83%
PHE,POWERHOUSE ENERGY GROUP PLC ORD 0.5P,GBX,17.66,0.4,-,-
PHSC,PHSC PLC ORD 10P,GBX,0.82,8,-,-
PIP,PIPEHAWK PLC ORD 1P,GBX,0.76,2.1,-,-
PLSR,PULSAR HELIUM INC. COM SHS NPV (DI),GBX,146.82,81.5,-,-
PMG,PARKMEAD GROUP (THE) PLC ORD 1.5P,GBX,21.03,19.25,-,-
PMI,PREMIER MITON GROUP PLC ORD 0.02P,GBX,72.66,45,0.5,1.12%
PMP,PORTMEIRION GROUP PLC ORD 5P,GBX,13.39,96.5,1,1.05%
POLB,POOLBEG PHARMA PLC ORD 0.02P,GBX,32.77,4.7,-,-
POLR,POLAR CAPITAL HOLDINGS PLC ORD 2.5P,GBX,644.12,635,-2,-0.31%
POS,PLEXUS HOLDINGS PLC ORD 1P,GBX,9.71,5.63,-,-
POW,POWER METAL RESOURCES PLC ORD 2P,GBX,17.62,15.25,-0.25,-1.61%
PPHC,"PUBLIC POLICY HOLDING COMPANY, INC. COM SHS USD0.001 (DI)",GBX,254.37,890,-,-
PR1,PRI0R1TY INTELLIGENCE GROUP PLC ORD GBP0.003,GBX,4.39,2.45,-,-
PREM,PREMIER AFRICAN MINERALS LIMITED ORD NPV (DI),GBX,2.85,0.02,-,-
PRIM,PRIMORUS INVESTMENTS PLC ORD 0.2P,GBX,4.81,3.85,-,-
PRM,PROTEOME SCIENCES PLC ORD 1P,GBX,7.05,2.01,-,-
PRO,PROSERVICE BUILD.SERV. MKTPLACE PLC ORD GBP0.01,GBX,60.69,7.98,0.38,5.00%
PTAL,PETROTAL CORPORATION COM SHS NPV (DI),GBX,196.29,21.5,-,-
PULS,PULSAR GROUP PLC ORD 5P,GBX,61.02,45,-,-
PXC,PHOENIX COPPER LIMITED ORD NPV (DI),GBX,2.95,1.03,-,-
PXEN,PROSPEX ENERGY PLC ORD 0.1P,GBX,13.29,3.1,-,-
PXS,PROVEXIS PLC ORD 0.1P,GBX,32.84,1.5,0.1,7.14%
PYC,PHYSIOMICS PLC ORD 0.4P,GBX,1.52,0.5,-,-
QBT,QUANTUM BLOCKCHAIN TECHNOLOGIES PLC ORD 0.25P,GBX,6.96,0.48,-,-
QED,QUADRISE PLC ORD 1P,GBX,39.62,1.98,-,-
QHE,QUANTUM HELIUM LIMITED ORD NPV (DI),GBX,10.5,0.03,0,4.76%
QTX,QUARTIX TECHNOLOGIES PLC ORD 1P,GBX,133.18,275,-,-
QUBE,QUANTUM BASE HOLDINGS PLC ORD GBP0.001,GBX,21.09,25,-,-
RBD,REABOLD RESOURCES PLC ORD 0.1P,GBX,9.17,0.09,-,-
RBN,ROBINSON PLC ORD 0.5P,GBX,19.69,117.5,-,-
RCFX,RC FORNAX PLC ORD GBP0.0025,GBX,11.03,11,-0.5,-4.35%
RCN,REDCENTRIC PLC ORD 0.1P,GBX,188.77,118.5,-,-
RDT,ROSSLYN DATA TECHNOLOGIES PLC ORD 0.1P,GBX,2.15,2.9,-,-
REAT,REACT GROUP PLC ORD 12.5P,GBX,12.29,51.5,-0.5,-0.96%
RENX,RENALYTIX PLC ORD 0.25P,GBX,16.93,3.88,-,-
REVB,REVOLUTION BEAUTY GROUP PLC ORD GBP0.01,GBX,33.09,3.65,-0.16,-4.07%
RFX,RAMSDENS HOLDINGS PLC ORD GBP0.01,GBX,137.51,430,5,1.18%
RHR,RICHMOND HILL RESOURCES PLC ORD GBP0.001,GBX,20.11,2.8,-,-
RKH,ROCKHOPPER EXPLORATION PLC ORD 1P,GBX,620.19,71.8,-0.2,-0.28%
RLE,REAL ESTATE INVESTORS PLC ORD 10P,GBX,54.9,31.4,-,-
RMR,ROME RESOURCES PLC ORD 0.1P,GBX,20.4,0.29,-0.01,-1.72%
RNWH,RENEW HOLDINGS PLC ORD 10P,GBX,731.47,925,1,0.11%
ROAD,ROADSIDE REAL ESTATE PLC ORD £0.00860675675675676,GBX,91.24,62.5,-1,-1.58%
ROCK,ROCKFIRE RESOURCES PLC ORD 0.1P,GBX,17.05,0.2,-,-
ROSE,ROSEBANK INDUSTRIES PLC ORD NPV,GBX,"1,333.67",328,-,-
RRR,RED ROCK RESOURCES PLC ORD 0.01P,GBX,2.22,0.02,-,-
RST,RESTORE PLC ORD 5P,GBX,328.25,240.5,-1.5,-0.62%
RTC,RTC GROUP PLC ORD 1P,GBX,13.81,110,-,-
RUA,RUA LIFE SCIENCES PLC ORD 5P,GBX,8.38,13.5,-,-
RVRB,RIVER GLOBAL PLC B SHS 0.5P,GBX,54.7,38,-,-
RWS,RWS HOLDINGS PLC ORD 1P,GBX,282.78,74.9,-1.3,-1.71%
SAA,M&C SAATCHI PLC ORD 1P,GBX,154.04,126,-,-
SAAS,MICROLISE GROUP PLC ORD GBP0.001,GBX,92.18,79.5,-,-
SAG,SCIENCE GROUP PLC ORD 1P,GBX,233.37,545,-,-
SAL,SPACEANDPEOPLE PLC ORD 10P,GBX,4.15,210,-,-
SALT,MICROSALT PLC ORD GBP0.001625,GBX,30.88,55,-,-
SAR,SAREUM HOLDINGS PLC ORD GBP 0.0125,GBX,21.4,15.5,-,-
SAV,SAVANNAH RESOURCES PLC ORD 1P,GBX,127.42,4.95,-,-
SAVE,SAVANNAH ENERGY PLC ORD GBP0.001,GBX,206.77,9.35,-0.55,-5.56%
SBAR,SUNDAE BAR PLC ORD 0.1P,GBX,21.27,4.95,-,-
SBDS,SILVER BULLET DATA SERVICES GROUP P ORD GBP0.01,GBX,3.54,18.5,-,-
SBTX,SKINBIOTHERAPEUTICS PLC ORD 1P,GBX,13.48,5.25,0.05,0.96%
SCE,SURFACE TRANSFORMS PLC ORD 1P,GBX,26.04,2,-,-
SCLP,SCANCELL HOLDINGS PLC ORD 0.1P,GBX,137.51,13.25,-,-
SDG,SANDERSON DESIGN GROUP PLC ORD 1P,GBX,43.36,60,-,-
SDI,SDI GROUP PLC ORD 1P,GBX,85.23,81.5,-,-
SEA,LONGBOAT ENERGY PLC ORD 10P,GBX,49.25,77,-1,-1.28%
SEE,SEEING MACHINES LD ORD NPV (DI),GBX,178.32,3.61,-0.02,-0.55%
SEED,SEED INNOVATIONS LD ORD 1P,GBX,6.48,3.45,-,-
SFT,SOFTWARE CIRCLE PLC ORD 1P,GBX,67.29,17.25,-,-
SHOE,SHOE ZONE PLC ORD 1P,GBX,23.11,50,-,-
SKA,SHUKA MINERALS PLC ORD 1P,GBX,4,3.15,-,-
SLP,SYLVANIA PLATINUM LIMITED CMN SHS USD0.01 (DI),GBX,292.65,114,1.5,1.33%
SML,STRATEGIC MINERALS PLC ORD 0.1P,GBX,90.74,3.3,-0.08,-2.37%
SNDA,SUNDA ENERGY PLC ORD 0.025P,GBX,11.39,0.04,0,3.59%
SNT,SABIEN TECHNOLOGY GROUP PLC ORD 3P,GBX,2.31,7.25,-,-
SNX,SYNECTICS PLC ORD 20P,GBX,41.82,237.5,2.5,1.06%
SOLI,SOLID STATE PLC ORD 5P,GBX,93.61,165,-,-
SOM,SOMERO ENTERPRISE INC COM STK USD0.001 (DI),GBX,116.24,215,-,-
SORT,SORTED GROUP HOLDINGS PLC ORD 0.01P,GBX,2.29,30,-,-
SOS,SOSANDAR PLC ORD 0.1P,GBX,16.32,7.25,-,-
SOU,SOUND ENERGY PLC ORD 1P,GBX,15.08,0.73,-,-
SOUC,SOUTHERN ENERGY CORP. SHS NPV (DI),GBX,11.02,3.25,-,-
SPA,1SPATIAL PLC ORD 10P,GBX,80.54,72,-,-
SPEC,INSPECS GROUP PLC ORD 1P,GBX,81.85,83,2.5,3.11%
SPR,SPRINGFIELD PROPERTIES PLC ORD 0.125P,GBX,155.49,130.5,-,-
SPSY,SPECTRA SYSTEMS CORPORATION COM SHS USD0.01 (UNRES),GBX,66.14,136.5,-0.5,-0.37%
SQZ,SERICA ENERGY PLC ORD USD0.10,GBX,899.89,230,-1,-0.43%
SRB,SERABI GOLD PLC ORD 10P,GBX,243.11,325,4,1.25%
SRC,SIGMAROC PLC ORD 1P,GBX,"1,672.28",150.4,0.4,0.27%
SRES,SUNRISE RESOURCES PLC ORD 0.001P,GBX,2.54,0.03,0,-7.69%
SRT,SRT MARINE SYSTEMS PLC ORD 0.1P,GBX,216.39,86,-,-
SSTY,SAFESTAY PLC ORD 1P,GBX,10.23,15.75,-,-
STAF,STAFFLINE GROUP PLC ORD 10P,GBX,62.39,50,-1,-1.96%
STAR,STAR ENERGY GROUP PLC ORD 0.002P,GBX,18.35,13.5,-0.5,-3.57%
STCM,STEPPE CEMENT LD ORD NPV,GBX,45.99,21,-,-
STG,STRIP TINNING HOLDINGS PLC ORD 1P,GBX,3.92,21.5,-,-
STX,SHIELD THERAPEUTICS PLC ORD 1.5P,GBX,103.06,9.65,-,-
SUH,SUTTON HARBOUR GROUP PLC ORD 1P,GBX,5.36,3.75,-,-
SUN,SURGICAL INNOVATIONS GROUP PLC ORD 1P,GBX,4.2,0.45,-,-
SUP,SUPREME PLC ORD 10P,GBX,168.94,143.5,-0.5,-0.35%
SVML,SOVEREIGN METALS LIMITED ORD NPV (DI),GBX,258.78,43.5,3.5,8.75%
SWG,SHEARWATER GROUP PLC ORD 10P,GBX,11.08,46.5,-,-
SWT,SWITCH METALS PLC ORD GBP0.0085,GBX,20.08,17,-,-
SYM,SYMPHONY ENVIRONMENTAL TECH. PLC ORD 1P,GBX,19.5,8.25,-,-
SYN,SYNERGIA ENERGY LTD ORD NPV,GBX,1.09,0.01,-,-
SYS,SYSGROUP PLC ORD 1P,GBX,12.55,14,-1,-6.67%
SYS1,SYSTEM1 GROUP PLC ORD 1P,GBX,25.89,204,-,-
TAM,TATTON ASSET MANAGEMENT PLC ORD GBP0.20,GBX,410.72,668,-2,-0.30%
TAP,TAP GLOBAL GROUP PLC ORD 0.1P,GBX,10.8,1.45,-,-
TAVI,TAVISTOCK INVESTMENTS PLC ORD 1P,GBX,19.63,3.95,-,-
TBLD,TINYBUILD INC. COM SHS USD0.001 (DI),GBX,30.29,7.63,-,-
TCF,THERACRYF PLC ORD 0.25P,GBX,4.84,0.23,-,-
TEAM,TEAM PLC ORD NPV,GBX,16.21,26,-,-
TEK,TEKCAPITAL PLC ORD £0.004,GBX,21.47,8.35,-,-
TENG,TEN LIFESTYLE GROUP PLC ORD 0.1P,GBX,66.7,69.25,-,-
TERN,TERN PLC ORD 0.02P,GBX,2.86,0.45,0.03,5.88%
TFW,THORPE(F.W.) PLC ORD 1P,GBX,317.98,281,-,-
TGP,TEKMAR GROUP PLC ORD 1P,GBX,15,10.75,-,-
THR,THOR ENERGY PLC ORD GBP0.001,GBX,6.28,0.61,-,-
THRU,THRUVISION GROUP PLC ORD 1P,GBX,4.93,1.1,-,-
THX,THOR EXPLORATIONS LTD COM SHS NPV (DI),GBX,566.59,85.5,0.5,0.59%
TIA,TIALIS ESSENTIAL IT PLC ORD 1P,GBX,24.94,62.5,-,-
TIDE,CRIMSON TIDE PLC ORD 10P,GBX,6.08,92.5,-,-
TIG,TEAM INTERNET GROUP PLC ORD 0.1P,GBX,121.49,48.2,-1.15,-2.33%
TIME,TIME FINANCE PLC ORD 10P,GBX,49.49,53.5,-,-
TIN,CORNISH METALS PLC ORD GBP0.0005,GBX,157.46,126,0.5,0.40%
TIR,TIGER ALPHA PLC ORD 0.1P,GBX,4.48,0.53,-,-
TMG,THE MISSION GROUP PLC ORD 10P,GBX,17.73,19.5,-,-
TMO,TIME OUT GROUP PLC ORD GBP0.001,GBX,44.69,8.55,-,-
TMT,TMT INVESTMENTS ORD NPV,USD,57.72,2.53,-,-
TND,TANDEM GROUP PLC ORD 25P,GBX,9.52,172.5,-,-
TOM,TOMCO ENERGY PLC ORD NPV,GBX,2.16,0.04,-0.02,-31.82%
TON,TITON HLDGS PLC ORD 10P,GBX,10.69,95,-,-
TOO,TOORU PLC ORD 0.01P,GBX,4.82,0.22,-,-
TPFG,PROPERTY FRANCHISE GROUP PLC (THE) ORD 1P,GBX,303.46,473.5,-2.5,-0.53%
TPX,TPXIMPACT HOLDINGS PLC ORD 1P,GBX,33.79,37.5,2,5.63%
TRAC,T42 IOT TRACKING SOLUTIONS PLC ORD NPV,GBX,1.54,2.1,-,-
TRAF,TRAFALGAR PROPERTY GROUP PLC ORD 0.01P,GBX,0.39,0.02,-,-
TRB,TRIBAL GROUP PLC ORD 5P,GBX,148.46,70.5,1.25,1.81%
TRCS,TRACSIS PLC ORD 0.4P,GBX,95.24,320,-,-
TRLS,TRELLUS HEALTH PLC ORD GBP0.0006,GBX,1.34,0.65,-0.05,-7.14%
TRP,TOWER RESOURCES PLC ORD GBP0.00001,GBX,9.01,0.03,-,-
TRT,TRANSENSE TECHNOLOGIES PLC ORD 10P,GBX,9.97,65.5,-,-
TRU,TRUFIN PLC ORD 91P,GBX,120.52,125.5,-0.5,-0.40%
TRUE,TRUETIDE PLC ORD 2P,GBX,1.84,2.35,-,-
TST,TOUCHSTAR PLC ORD 5P,GBX,5.15,65,-,-
TSTL,TRISTEL PLC ORD 1P,GBX,194.12,410,5,1.24%
TUN,TUNGSTEN WEST PLC ORD GBP0.01,GBX,271.32,31.5,0.5,1.61%
TUNE,FOCUSRITE PLC ORD 0.1P,GBX,142.11,240,-,-
TXP,TOUCHSTONE EXPLORATION INC COM SHS NPV (DI),GBX,27.76,8.55,-,-
TYM,TERTIARY MINERALS PLC ORD 0.01P,GBX,4.38,0.09,-,-
UFO,ALIEN METALS LD COM SHS NPV (DI),GBX,19.73,0.17,-,-
UJO,UNION JACK OIL PLC ORD 5P,GBX,4.18,2.85,-,-
UKR,UKRPRODUCT GROUP LD ORD 10P,GBX,3.17,8,-,-
UOG,UNITED OIL & GAS PLC ORD GBP0.00001,GBX,7.93,0.18,-0.02,-7.69%
UPR,UNIPHAR PLC ORD EUR0.08 (CDI),GBX,903.32,348,-,-
URU,URU METALS LD ORD NPV (DI),GBX,6.3,6.5,-,-
VAL,VALIRX PLC ORD 0.1P,GBX,2.3,0.31,-,-
VANL,VAN ELLE HOLDINGS PLC ORD 2P,GBX,40.58,37.5,-,-
VARE,VARIOUS EATERIES PLC ORD 1P,GBX,23.63,13.5,-,-
VAST,VAST RESOURCES PLC ORD 0.1P,GBX,6,0.12,-,-
VCP,VICTORIA PLC ORD 5P,GBX,30.11,23,-3.1,-11.88%
VEL,VELOCITY COMPOSITES PLC ORD 0.25P,GBX,8.47,15.5,-,-
VIC,VICTORIAN PLUMBING GROUP PLC ORD GBP0.001,GBX,282.69,84.4,-1.6,-1.86%
VINO,VIRGIN WINES UK PLC ORD GBP0.01,GBX,29.4,59.5,-,-
VLE,VOLVERE PLC ORD 0.00001P,GBX,58.03,"2,650.00",-,-
VLG,VENTURE LIFE GROUP PLC ORD 0.3P,GBX,85.9,69.5,-,-
VLX,VOLEX PLC ORD 25P,GBX,906.05,482,-7.5,-1.53%
VNET,VIANET GROUP PLC ORD 10P,GBX,19.19,67.5,-,-
VRCI,VERICI DX PLC ORD GBP0.001,GBX,9.46,0.63,-,-
VTU,VERTU MOTORS PLC ORD 10P,GBX,197.04,60.6,-2.4,-3.81%
W7L,WARPAINT LONDON PLC ORD 25P,GBX,219.74,267.5,-4.5,-1.65%
WATR,WATER INTELLIGENCE PLC ORD 1P,GBX,53.17,314,-,-
WHI,W.H. IRELAND GROUP PLC ORD 1P,GBX,10.03,4.25,-,-
WINE,NAKED WINES PLC ORD 7.5P,GBX,50.85,73.4,-0.8,-1.08%
WINK,M WINKWORTH PLC ORD 0.5P,GBX,22.91,177.5,-,-
WJG,WATKIN JONES PLC ORD 1P,GBX,79.05,30.85,0.05,0.16%
WKS,WINKING STUDIOS LIMITED ORD SGD 0.04 (DI),GBX,56.35,13,0.25,1.96%
WPHO,WINDAR PHOTONICS PLC ORD 1P,GBX,40.47,42,-,-
WRKS,THEWORKS.CO.UK PLC ORD 1P,GBX,22.56,37.8,1.7,4.71%
WSG,WESTMINSTER GROUP PLC ORD 0.1P,GBX,3.84,0.85,-,-
WTE,WESTMOUNT ENERGY LD ORD NPV,GBX,7.56,5.25,-,-
WYN,WYNNSTAY GROUP PLC ORD 25P,GBX,90.2,390,-,-
XPF,XP FACTORY PLC ORD 1.25P,GBX,19.71,11.25,-,-
XSG,XEROS TECHNOLOGY GROUP ORD 0.1P,GBX,12.5,1.45,-,-
XTR,XTRACT RESOURCES PLC ORD 0.02P,GBX,12.49,1.03,-0.03,-2.38%
YCA,YELLOW CAKE PLC ORD GBP0.01,GBX,"1,647.34",655,3,0.46%
YNGA,YOUNG & CO'S BREWERY PLC A' ORD 12.5P,GBX,328.17,863,-,-
YNGN,YOUNG & CO'S BREWERY PLC NON VTG ORD 12.5P,GBX,152.92,636,-14,-2.15%
YOU,YOUGOV PLC ORD 0.2P,GBX,244.38,205.5,-3,-1.44%
YU.,YU GROUP PLC ORD GBP0.005,GBX,327.98,"1,940.00",-,-
ZAM,ZAMBEEF PRODUCTS PLC ORD ZMW0.01,GBX,13.23,4.45,0.05,1.14%
ZIN,ZINC MEDIA GROUP PLC ORD 0.125P,GBX,11.59,46,-,-
ZIOC,ZANAGA IRON ORD NPV (DI),GBX,54.94,6.4,-0.2,-3.03%
ZNWD,ZINNWALD LITHIUM PLC ORD GBP0.01,GBX,36.34,6.7,-,-
ZOO,ZOO DIGITAL GROUP PLC ORD 1P,GBX,14.01,14.25,-,-
ZPHR,ZEPHYR ENERGY PLC ORD 0.1P,GBX,69.32,3.45,0.15,4.55%
