Code,Name,Currency,Market Cap (m),Price,Change,Change %
BT.A,BT GROUP PLC ORD 5P,GBX,"20,244.26",203.7,0.6,0.30%
BTRW,BARRATT REDROW PLC ORD 10P,GBX,"5,380.46",377.1,-1.3,-0.34%
BUT,BRUNNER INV TST PLC ORD 25P,GBX,650.22,"1,492.00",-12,-0.80%
BWY,BELLWAY PLC ORD 12.5P,GBX,"3,325.11","2,834.00",-14,-0.49%
BYG,BIG YELLOW GROUP PLC ORD 10P,GBX,"2,070.53","1,048.00",-4,-0.38%
BYIT,BYTES TECHNOLOGY GROUP PLC ORD GBP0.01,GBX,701.47,296.6,-0.2,-0.07%
CABP,CAB PAYMENTS HOLDINGS PLC ORD 0.033 1/3P,GBX,209.41,84.1,1.7,2.06%
CAPD,CAPITAL LD COMM SHS USD0.0001 (DI),GBX,318.8,139,-2.5,-1.77%
CARD,CARD FACTORY PLC ORD 1P,GBX,246.57,71.3,-,-
CBG,CLOSE BROS GROUP PLC ORD 25P,GBX,739.46,489.2,-2,-0.41%
CCC,COMPUTACENTER PLC ORD 7 5/9P,GBX,"3,261.69","3,028.00",-42,-1.37%
CCEP,COCA-COLA EUROPACIFIC PARTNERS PLC ORD EUR0.01 (DI),GBX,"35,074.01","7,830.00",20,0.26%
CCH,COCA-COLA HBC AG ORD CHF6.70 (CDI),GBX,"17,354.77","4,796.00",22,0.46%
CCJI,CC JAPAN INCOME & GROWTH TRUST PLC ORD GBP0.01,GBX,340.19,252.5,-,-
CCL,CARNIVAL PLC ORD USD 1.66,GBX,"3,420.39","2,351.00",2,0.09%
CCR,C&C GROUP PLC ORD EUR0.01 (CDI),GBX,416.52,113,0.6,0.53%
CGT,CAPITAL GEARING TRUST PLC ORD 25P,GBX,797.09,"5,020.00",-10,-0.20%
CHG,CHEMRING GROUP PLC ORD 1P,GBX,"1,387.83",512,2,0.39%
CHI,CT UK HIGH INCOME TRUST PLC ORD 0.1P,GBX,107.72,119,-,-
CHRY,CHRYSALIS INVESTMENTS LIMITED ORD NPV,GBX,457.82,93.8,-0.3,-0.32%
CKN,CLARKSON PLC ORD 25P,GBX,"1,296.99","4,195.00",-,-
CLDN,CALEDONIA INVESTMENTS PLC ORD 0.5P,GBX,"1,823.07",347.5,-2.5,-0.71%
CLI,CLS HOLDINGS PLC ORD 2.5P,GBX,238.07,60.3,0.5,0.84%
CLIG,CITY OF LONDON INVESTMENT GROUP PLC ORD 1P,GBX,197.65,390,-,-
CMCX,CMC MARKETS PLC ORD 25P,GBX,924.79,330.5,-,-
CNA,CENTRICA PLC ORD 6 14/81P,GBX,"8,668.65",190.3,2.05,1.09%
CNE,CAPRICORN ENERGY PLC ORD 799/122P,GBX,185.22,261.5,-1,-0.38%
COA,COATS GROUP PLC ORD 5P,GBX,"1,744.81",90.1,-0.9,-0.99%
COST,COSTAIN GROUP PLC ORD 1P,GBX,509.96,189,-2.2,-1.15%
CPG,COMPASS GROUP PLC ORD 11 1/20P,GBX,"37,630.53","2,209.00",-4,-0.18%
CPI,CAPITA PLC ORD 31P,GBX,433.31,357.5,-3.5,-0.97%
CRDA,CRODA INTERNATIONAL PLC ORD 10.609756P,GBX,"4,189.06","2,979.00",-21,-0.70%
CREI,CUSTODIAN PROPERTY INCOME REIT PLC ORD 1P,GBX,429.24,89.8,1,1.13%
CRST,CREST NICHOLSON HOLDINGS PLC ORD 5P,GBX,416.25,158.7,-3.3,-2.04%
CSN,CHESNARA PLC ORD 5P,GBX,755.14,327,-,-
CTEC,CONVATEC GROUP PLC ORD 10P,GBX,"4,472.70",229.2,0.4,0.18%
CTPE,CT PRIVATE EQUITY TRUST PLC ORD 1P,GBX,371.82,536,16,3.08%
CTUK,CT UK CAP AND INC INV TRUST PLC ORD 25P,GBX,348.83,368,-,-
CTY,CITY OF LONDON INVESTMENT TRUST PLC ORD 25P,GBX,"2,930.22",576,-1,-0.17%
CURY,CURRYS PLC ORD 0.1P,GBX,"1,728.47",156.8,0.8,0.51%
CVCG,CVC INCOME & GROWTH LIMITED ORD NPV GBP,GBX,224.11,116.25,-,-
CWK,CRANSWICK PLC ORD 10P,GBX,"2,936.62","5,370.00",-40,-0.74%
CWR,CERES POWER HOLDINGS PLC ORD 10P,GBX,580.24,284.8,-13.2,-4.43%
CYN,CQS NATURAL RES GROWTH & INCOME PLC ORD 25P,GBX,154.83,426,4,0.95%
DCC,DCC PLC ORD EUR0.25 (CDI),GBX,"4,424.92","5,140.00",-40,-0.77%
DFS,DFS FURNITURE PLC ORD GBP0.10,GBX,448.4,191,1,0.53%
DGE,DIAGEO PLC ORD 28 101/108P,GBX,"41,211.38","1,844.00",-7,-0.38%
DGI9,DIGITAL 9 INFRASTRUCTURE PLC ORD NPV,GBX,46.2,5.3,-0.04,-0.75%
DIG,DUNEDIN INCOME GROWTH INV TST PLC ORD 25P,GBX,366.04,305,-,-
DIVI,DIVERSE INCOME TRUST (THE) PLC ORD 0.1P,GBX,193.01,118,-,-
DLN,DERWENT LONDON PLC ORD 5P,GBX,"2,011.13","1,774.00",-17,-0.95%
DNLM,DUNELM GROUP PLC ORD 1P,GBX,"1,974.21",979.5,3.5,0.36%
DOCS,DR. MARTENS PLC ORD GBP0.01,GBX,658.74,69.05,0.95,1.40%
