Code,Name,Currency,Market Cap (m),Price,Change,Change %
SOHO,SOCIAL HOUSING REIT PLC ORD 1P,GBX,304.54,77.8,0.4,0.52%
SOI,SCHRODER ORIENTAL INCOME FUND LD ORD 1P,GBX,891.58,390.5,-4,-1.01%
SPI,SPIRE HEALTHCARE GROUP PLC ORD 1P,GBX,805.52,198.6,-1.4,-0.70%
SPX,SPIRAX GROUP PLC ORD 26 12/13P,GBX,"5,824.62","7,860.00",-35,-0.44%
SRE,SIRIUS REAL ESTATE LD ORD NPV,GBX,"1,709.40",108.2,0.6,0.56%
SREI,SCHRODER REAL ESTATE INV. TST. LD ORD SHS NPV,GBX,267.54,54.8,0.1,0.18%
SRP,SERCO GROUP PLC ORD 2P,GBX,"2,996.21",297.6,-1.2,-0.40%
SSE,SSE PLC ORD 50P,GBX,"31,430.91","2,591.00",-2,-0.08%
SSIT,SERAPHIM SPACE INVESTMENT TRUST PLC ORD GBP0.01,GBX,355.8,157,7,4.67%
SSPG,SSP GROUP PLC ORD 1 17/200P,GBX,"1,580.05",198.4,-2.6,-1.29%
SST,SCOTTISH ORIENTAL SMLR CO TST PLC ORD 5P,GBX,310.38,277,2,0.73%
STAN,STANDARD CHARTERED PLC ORD USD0.50,GBX,"40,614.25","1,826.00",24,1.33%
STB,SECURE TRUST BANK PLC ORD 40P,GBX,291.27,"1,530.00",5,0.33%
STEM,STHREE PLC ORD 1P,GBX,220.05,175,2.6,1.51%
STJ,ST.JAMES'S PLACE PLC ORD 15P,GBX,"6,768.81","1,298.00",14,1.09%
STS,STS GLOBAL INCOME & GROWTH TST PLC RED ORDS 1P,GBX,275.17,238,-1,-0.42%
STVG,STV GROUP PLC ORD 50P,GBX,52.8,111.5,-1.5,-1.33%
SUPR,SUPERMARKET INCOME REIT PLC ORD GBP0.01,GBX,"1,080.49",86.8,0.1,0.12%
SUS,S & U PLC ORD 12 1/2P,GBX,283.11,"2,340.00",10,0.43%
SVS,SAVILLS PLC ORD 2.5P,GBX,"1,467.03","1,006.00",2,0.20%
SVT,SEVERN TRENT PLC ORD 97 17/19P,GBX,"9,460.18","3,129.00",-13,-0.41%
SWEF,STARWOOD EUROPEAN REAL EST FIN LD ORD NPV,GBX,21.12,96,5,5.50%
SYNC,SYNCONA LIMITED ORD NPV,GBX,602.11,99,-,-
SYNT,SYNTHOMER PLC ORD 1P,GBX,33.12,20.1,-0.15,-0.74%
TATE,TATE & LYLE PLC ORD 29 1/6P,GBX,"1,785.35",396.4,-4.4,-1.10%
TBCG,TBC BANK GROUP PLC ORD GBP0.01,GBX,"2,599.65","4,765.00",100,2.14%
TBTG,THE BEAUTY TECH GROUP PLC ORD GBP0.10,GBX,337.64,304,-1,-0.33%
TCAP,TP ICAP GROUP PLC ORD 25P,GBX,"1,973.16",263.5,-1.5,-0.57%
TEM,TEMPLETON EMERGING MARKETS IT PLC ORD 5P,GBX,"2,611.14",275.5,1,0.36%
TEP,TELECOM PLUS PLC ORD 5P,GBX,"1,118.00","1,378.00",-18,-1.29%
TET,TREATT PLC ORD 2P,GBX,126.93,215,-,-
TFIF,TWENTYFOUR INCOME FUND LIMITED ORD RED 1P,GBX,955.08,113,-,-
THG,THG PLC ORD GBP0.005,GBX,577.09,34.74,-0.44,-1.25%
THRG,BLACKROCK THROGMORTON TRUST PLC ORD 5P,GBX,499.72,660,-6,-0.90%
THRL,TARGET HEALTHCARE REIT PLC ORD 1P,GBX,657.45,106,-,-
TLW,TULLOW OIL PLC ORD 10P,GBX,146.17,10.34,0.43,4.34%
TMIP,TAYLOR MARITIME LIMITED ORD NPV,GBX,110.56,61.5,-0.5,-0.81%
TMPL,TEMPLE BAR INV TST PLC ORD 5P,GBX,"1,193.45",403,-0.5,-0.12%
